1674,1000
1674,294
1674,436
1674,90
1675,139
1675,154
1675,486
1675,928
1676,116
1676,144
1676,887
1677,1023
1678,793
1678,886
1678,887
1678,890
1679,890
1679,912
1680,753
1680,838
1681,730
1681,886
1681,887
1681,983
1682,308
1682,803
1682,911
1682,912
1683,129
1683,132
1683,429
1683,994
1684,100
1684,101
1684,116
1684,845
1685,116
1685,800
1685,929
1686,149
1686,482
1686,749
1687,736
1687,872
1688,205
1688,206
1688,520
1688,90
1689,713
1689,81
1691,67
1691,765
1691,832
1692,481
1693,113
1693,120
1693,175
1694,141
1694,149
1694,81
1695,148
1695,149
1695,81
1696,170
1696,338
1696,958
1697,109
1697,168
1697,208
1698,205
1698,521
1699,400
1699,401
1699,407
1699,731
1700,1086
1700,232
1700,477
1700,574
1701,113
1701,122
1701,726
1701,856
1702,121
1702,359
1702,50
1703,369
1703,473
1703,526
1704,1061
1704,1092
1704,847
1704,924
1705,1000
1705,251
1705,314
1705,919
1706,1054
1706,144
1706,532
1706,872
1707,141
1707,149
1707,81
1708,141
1708,149
1708,175
1708,81
1709,271
1709,272
1709,316
1709,505
1710,125
1710,128
1711,329
1711,450
1711,48
1711,554
1712,113
1712,291
1712,726
1714,1029
1714,532
1714,71
1714,935
1715,257
1715,292
1715,313
1715,331
1716,314
1716,436
1716,90
1717,271
1717,272
1719,127
1719,331
1721,56
1721,575
1721,749
1721,750
1722,749
1722,750
1722,751
1722,986
1724,1080
1724,326
1724,731
1724,813
1726,525
1726,696
1727,481
1728,1080
1728,481
1728,731
1729,407
1729,481
1733,481
1734,407
1736,1053
1737,469
1737,472
1737,526
1738,96
1740,175
1740,853
1741,175
1741,68
1741,853
1741,98
1742,584
1744,411
1745,210
1746,413
1746,456
1746,564
1746,613
1747,212
1747,256
1747,481
1747,683
1748,154
1749,439
1750,439
1751,1094
1753,420
1754,1039
1754,696
1757,826
1758,483
1759,591
1759,592
1761,561
1762,212
1762,712
1762,950
1763,784
1765,483
1765,538
1765,844
1766,1021
1767,1039
1767,749
1768,483
1768,502
1770,194
1770,839
1770,988
1774,839
1774,988
1776,45
1778,702
1783,1057
1783,305
1783,726
1784,1057
1784,726
1785,1033
1787,256
1787,439
1787,481
1789,256
